74.38,134.44,0.01
MEASURE,0.0028647787,8,0.03531314268104776
ASSETS,0.0028640141,9,0.039716682434514636
SYSTEM RESOURCES,0.0028387366,1,0.004374016332819723
ACCESS,0.0027994704,6,0.025881082280431428
ACCESSIBILITY,0.0027957333,1,0.004307755469953775
SIGNAL,0.0027838321,5,0.021447088597842834
RISKS,0.0027501343,3,0.012712485208012327
CONSEQUENCE,0.0027488107,1,0.00423545562403698
EVENT,0.0027429245,8,0.03381108782742681
INTERNET PROTOCOL COMMUNICATIONS,0.0027355338,1,0.0042149981510015404
GOVERNMENT,0.002669259,4,0.016451519260400616
PURPOSES,0.0026323353,5,0.020279932973805852
DEGREE,0.0026215843,9,0.03635478998459168
PRACTICE,0.0026085237,5,0.020096484591679505
HUMAN HEALTH IMPACTS,0.0026070205,1,0.004016980739599383
IMPACTS,0.0026062941,2,0.008031722958397535
STORAGE,0.002469753,3,0.01141642372881356
TRACK CIRCUITS,0.0024627747,1,0.0037947221879815096
SOFTWARE,0.002456355,5,0.018924152542372882
OUTCOMES,0.0024542552,4,0.015126380277349768
RAILWAY SIGNALING NETWORK,0.002413657,1,0.003719040061633282
FUNCTIONALITIES,0.0023951621,1,0.003690542526964561
HMI,0.002392097,1,0.0036858197226502312
SYSTEM PROCESSES,0.002363309,1,0.003641462249614792
USE,0.0023452607,24,0.08672766841294298
RESULT,0.002339845,6,0.021631848998459168
MANNER,0.002309148,5,0.01779004622496148
SENSE,0.002301611,3,0.010639187981510015
REST,0.0022967404,9,0.031850020955315875
METHODS,0.0022935625,1,0.0035339946070878274
POSITION SENSING,0.0022889408,1,0.003526873343605547
COUNTERMEASURE,0.0022849622,1,0.0035207429892141753
CYBERSECURITY CHANGE,0.0022843874,1,0.003519857318952234
INFORMATION SYSTEM,0.00220488,5,0.016986748844375964
INFRASTRUCTURE CENTER,0.0021705315,1,0.0033444244992295842
DEFINITION,0.0021579699,2,0.006650138366718028
AUTOMATIC TRAIN PROTECTION,0.002150316,1,0.003313275808936826
CHANGES,0.0021365515,5,0.016460335130970727
VALUE,0.0021281145,2,0.00655813405238829
ADVERSARY,0.0021094903,2,0.006500740523882896
WAYSIDE,0.0021053709,2,0.006488045916795069
REGULATION,0.0020972334,2,0.0064629688751926045
LIFECYCLE,0.002089696,1,0.0032198705701078577
VIEWING,0.0020879086,1,0.0032171164869029276
MODIFICATION,0.0020869458,2,0.00643126594761171
DESTRUCTION,0.0020869458,3,0.009646898921417565
PHENOMENON,0.0020860173,3,0.009642606933744222
SOURCES,0.0020860173,8,0.02571361848998459
MOVING BLOCK,0.0020818138,1,0.003207725423728813
BLOCKS,0.0020810487,1,0.0032065465331278893
FIRMWARE,0.0020756233,3,0.009594560708782745
RISK MANAGEMENT,0.002071338,4,0.012766335901386747
COMMUNICATIONS SYSTEMS,0.0020578937,3,0.009512605701078583
CRIMINAL JUSTICE INFORMATION SERVICES,0.0020051813,1,0.0030896476117103235
SERVICES,0.001982818,16,0.04888303235747303
CYBER SYSTEM,0.0019111935,1,0.0029448281972265025
BUSINESS SYSTEMS,0.0019100113,1,0.002943006625577812
ACCESS CONTROL SYSTEMS,0.0019100113,1,0.002943006625577812
CONTROL SYSTEMS,0.0019100113,5,0.01471503312788906
COMPUTER SYSTEMS,0.0019057926,1,0.0029365063174114025
SECURITY,0.0018724971,44,0.12694895593220337
KNOWLEDGE,0.0018714018,2,0.005767031741140216
CLOSENESS,0.0018618036,1,0.002868726656394453
COMMUNICATIONS,0.001852275,14,0.03995662557781202
CYBERSECURITY,0.0018505494,11,0.031365244067796616
CYBERSPACE,0.0018487849,3,0.008546001078582435
ACCURACY,0.0018475465,1,0.0028467588597842833
EMERGENCY BRAKES,0.0018419046,1,0.0028380656394453004
BLACK-BOX,0.0018335917,1,0.0028252568567026194
COHERENCE,0.0018293569,1,0.0028187317411402157
COTS,0.0018284101,1,0.002817272881355932
CREATION,0.0018266264,1,0.002814524499229584
DISSEMINATION,0.001825784,1,0.002813226502311248
PRINCIPLE,0.0018212938,1,0.002806307858243451
GPS,0.0018212938,1,0.002806307858243451
TRAIN SEPARATION,0.0018206245,1,0.0028052765793528506
DOMAIN,0.0018164195,1,0.0027987973805855162
HARDWARE,0.0018158776,1,0.002797962403697997
EFFECT,0.0018148309,5,0.01398174807395994
DEATHS,0.0018148309,1,0.0027963496147919878
INJURIES,0.0018148309,1,0.0027963496147919878
SOCIETY,0.0018143251,1,0.0027955702619414484
PASSENGER STATIONS,0.0017853021,1,0.002750850693374422
CJIS SECURITY POLICY,0.0017789777,1,0.002741105855161787
PARTIES,0.0016899271,1,0.002603893836671803
LOCATION,0.0016299407,5,0.01255732434514638
EVENTS,0.0016199307,1,0.0024960411402157167
INTERNET,0.0015816806,3,0.0073113124807395995
INTERACTIONS,0.0015811528,1,0.0024362909090909087
ENTITIES,0.0015451525,16,0.03809312788906009
CRITICAL INFRASTRUCTURE OWNERS,0.0015449686,1,0.0023805371340523884
CONTINUITY,0.001544495,1,0.0023798073959938365
CONTROLLERS,0.0015387828,1,0.0023710058551617876
TRANSMITS,0.0014972242,1,0.002306971032357473
INFORMATION NETWORKS,0.0014458287,1,0.0022277791987673342
NETWORK,0.0014448239,23,0.05120331232665639
TELECOMMUNICATIONS NETWORKS,0.0014448239,1,0.002226230970724191
NETWORKS,0.0014438721,3,0.006674293220338983
OPERATION,0.001426609,13,0.028576143297380584
OPERATIONS,0.0014245597,11,0.02414507966101695
PROCEDURES,0.0014227219,3,0.006576526502311247
PROCESSORS,0.001419291,1,0.00218688906009245
CYBER,0.0014184192,27,0.05900973559322035
GUIDANCE,0.0013995165,1,0.002156419876733436
PIV,0.0013595141,5,0.010473914483821265
EXECUTIVE ORDER,0.0013474087,3,0.0062283915254237295
INFRASTRUCTURE ENTITY,0.0013433604,1,0.0020698927580893684
INFORMATION TECHNOLOGY INFRASTRUCTURES,0.0013364693,1,0.0020592747303543914
SENSITIVE SECURITY INFORMATION,0.0013102572,1,0.0020188862865947615
SAFETY SYSTEM,0.0012836312,1,0.001977860092449923
ATS,0.0012450449,3,0.005755215254237288
CJIS,0.0012363885,2,0.003810134052388289
CJI,0.0012363885,4,0.007620268104776578
CYBER-ATTACK,0.0012356297,3,0.005711693528505393
HTTP://WWW.SYMANTEC.COM/SECURITY_RESPONSE/GLOSSARY/,0.0012075666,1,0.0018606573189522341
SAFETY,0.0011755206,10,0.01811279815100154
FUNCTION,0.0011735313,11,0.019890361016949153
PERFORMANCE INFORMATION,0.0011725323,1,0.0018066753466872113
TRANSPORTATION SYSTEM,0.0011652414,2,0.003590882588597843
INFRASTRUCTURE SYSTEMS,0.0011614042,1,0.0017895288135593222
STRAND,0.001144879,3,0.005292198767334361
RESPONSIBILITY,0.0011405824,1,0.0017574459167950692
RESILIENCE,0.0011339765,5,0.008736336671802774
CRITICALITY,0.0011337126,1,0.0017468607087827426
RESILIENCY,0.0011313128,1,0.0017431630200308167
POLICIES,0.0011313128,3,0.0052294890600924505
TYPE,0.0010947745,3,0.005060590909090909
INFRASTRUCTURE PARTNER,0.0010912934,1,0.001681499845916795
AUTOMATIC TRAIN SUPERVISION,0.0010892056,1,0.0016782828967642528
RECOVERY,0.0010882089,4,0.006706988597842836
PCI DSS,0.001082601,2,0.0033362126348228044
ROUTING,0.0010793847,1,0.0016631505392912173
CBTC,0.0010783662,1,0.0016615812018489983
CYBERSECURITY RISK,0.0010752726,1,0.0016568144838212634
EQUIPMENT VENDORS,0.001071457,1,0.0016509352850539293
STEPS,0.0010701908,1,0.0016489842835130972
NUMBER,0.0010653186,1,0.0016414770416024653
CONTROL INTERFACE,0.0010610005,1,0.0016348235747303545
INTERDEPENDENCY,0.0010599324,2,0.0032663556240369795
INTENTIONS,0.0010584758,1,0.00163093343605547
INTERLOPER,0.0010582027,3,0.004891537904468413
SECTOR,0.0010440234,3,0.004825994144838213
CONSEQUENCES,0.0010421632,5,0.008028992295839754
EQUIPMENT,0.0010419483,10,0.016054673343605545
CYBERSECURITY EVENT,0.0010407281,3,0.004810761633281972
FRAMEWORK CORE,0.0010404093,1,0.001603095993836672
CAPABILITIES,0.0010397919,10,0.0160214468412943
CONTROL,0.0010307877,18,0.02858887303543914
ISSUERS,0.0010046227,2,0.0030959097072419104
IMPACT,0.0009935187,7,0.010715918181818182
OWNERS,0.0009922707,4,0.0061156899845916796
INCIDENT RESPONSE,0.000989705,1,0.0015249691833590139
NIPP 2013- PARTNERING,0.0009816735,1,0.0015125939907550076
RISK COMMUNICATION,0.0009765764,1,0.0015047402157164868
COMMUNITIES,0.00097640144,5,0.007522353158705701
FIBER-OPTIC NETWORK,0.00097046845,1,0.0014953288906009244
PRIMARY FUNCTION,0.0009618112,1,0.0014819895223420647
PROCESSES,0.0009555012,8,0.01177813497688752
PROCEDURE,0.0009542383,3,0.004410962865947611
HUMAN ACTION,0.00095175806,1,0.0014664993220338985
ACTIVITY,0.0009511877,1,0.0014656204930662557
RECOVERY EFFORTS,0.0009472995,1,0.0014596294298921417
ZONE,0.0009361504,10,0.01442450539291217
HEALTH,0.0009355359,6,0.00864902218798151
INVESTMENT,0.00093505153,1,0.0014407573651771957
STORES,0.0009326958,1,0.0014371275808936826
VULNERABILITY REDUCTION,0.00093194464,1,0.0014359701694915254
THREAT REDUCTION,0.00093194464,1,0.0014359701694915254
WIRELESS,0.0009309014,1,0.0014343627118644068
WIRELINE,0.0009309014,1,0.0014343627118644068
PROTECTION,0.0009309014,1,0.0014343627118644068
INDUSTRIES,0.0009302544,1,0.0014333657935285053
RAIL TRANSIT,0.00091313676,7,0.009848932696456087
ENTITY,0.0008985473,11,0.015229615254237286
SCADA,0.0008734438,2,0.002691660400616333
COMBINATION,0.00086892705,5,0.006694353235747304
MISSION,0.00086745643,7,0.009356232681047766
ORGANIZATION ACTIONS,0.00086671795,1,0.0013354667950693376
RESULTS,0.0008665158,3,0.00400546594761171
PERSONNEL,0.0008663371,5,0.006674399845916795
DETERRENCE,0.0008658179,1,0.0013340799691833592
ENGAGEMENT,0.0008658179,3,0.004002239907550077
INTELLIGENCE MISSIONS,0.0008658179,1,0.0013340799691833592
RESTORATION,0.0008650043,3,0.00399847904468413
PEOPLE,0.0008639591,5,0.00665607935285054
SECURITY ZONE,0.0008587461,3,0.003969550539291217
ZONES,0.0008587461,1,0.0013231835130970723
TRANSPORTATION SECURITY,0.0008456107,1,0.0013029440677966102
INTERNATIONAL STANDARDS ORGANIZATION,0.00084430265,2,0.002601857164869029
COMPUTER NETWORK OPERATIONS,0.00083460787,1,0.0012859905546995377
BUSINESS PROCESSES,0.0008301651,1,0.0012791449922958398
INCIDENTS,0.00082999794,3,0.003836662280431433
STRATEGIES,0.0008239368,1,0.0012695482280431433
ENTERPRISE RISK MANAGEMENT,0.0008123598,1,0.0012517100154083205
OTHER,0.0008102944,12,0.014982330970724192
FEATURE,0.0007951122,1,0.0012251343605546995
SOURCE,0.0007898669,1,0.0012170522342064716
FACILITIES,0.0007879123,3,0.0036421215716486897
RANGE,0.0007874401,2,0.002426625885978428
LAW ENFORCEMENT,0.0007874401,2,0.002426625885978428
INFORMATION ASSURANCE,0.0007874401,1,0.001213312942989214
PREVENTION,0.0007867001,2,0.0024243454545454547
DAMAGE,0.0007867001,4,0.0048486909090909094
EXPLOITATION,0.0007867001,3,0.0036365181818181816
CONFIDENTIALITY,0.0007865586,1,0.0012119546995377503
POINTS,0.000786419,1,0.0012117395993836671
REPUTATION,0.00078614574,1,0.0012113185516178736
ENVIRONMENT,0.0007857495,4,0.004842832049306626
OCCURRENCES,0.0007839452,3,0.003623783667180278
COMMUNITY SERVICES,0.0007768088,1,0.0011969318952234208
FAILURE,0.0007688313,5,0.005923199537750385
STANDARD,0.0007559456,7,0.008153496456086286
COMPUTER,0.00075567927,7,0.008150623867488443
INFORMATION SECURITY MANAGEMENT SYSTEM,0.00075508864,1,0.0011634647765793528
NETWORK RESILIENCE,0.00075480196,1,0.0011630230508474575
MODES,0.00074431935,1,0.0011468711093990753
EXAMPLES,0.00074364373,1,0.001145830092449923
PATCH MANAGEMENT,0.0007373571,1,0.0011361434514637904
CYBER INCIDENT,0.000737077,1,0.0011357118644067798
PERFORMANCE MANAGEMENT,0.0007368226,1,0.0011353198767334362
NATIONAL CYBERSECURITY AND COMMUNICATIONS,0.0007308476,1,0.0011261134052388288
SECURITY ASSESSMENT,0.0007296696,1,0.001124298305084746
EMERGENCY,0.00072916923,4,0.004494109275808937
FRAMEWORK,0.0007290084,6,0.006739677041602466
PARTS,0.000728929,1,0.0011231571648690293
EMERGENCIES,0.00072831765,3,0.003366645531587057
LAW ENFORCEMENT PARTNERS,0.00072633283,1,0.0011191569029275809
PARTNERS,0.00072615617,4,0.004475538798151001
INTERLOCKING,0.00071719737,5,0.00552540346687211
INDIVIDUALS,0.00070927286,3,0.003278611063174114
SIGNALING,0.0007016053,6,0.006486335593220339
RESPONSE ACTION,0.0006993572,1,0.0010775919876733436
LIFE,0.0006990002,8,0.00861633528505393
STRANDS,0.00069790694,1,0.0010753573805855163
TERRORIST THREATS,0.00069693534,1,0.00107386030816641
PROGRAM,0.00069658866,6,0.006439956795069338
CONSENT,0.0006955034,1,0.0010716539291217258
POWER,0.00069517776,4,0.0042846086902927575
STATE,0.00069509307,6,0.006426130077041602
LIVING DOCUMENT,0.0006914737,1,0.0010654448382126347
MATTERS,0.0006913404,1,0.001065239445300462
COALITIONS,0.0006906525,1,0.0010641795069337443
OPERA-TORS,0.0006906525,1,0.0010641795069337443
VOLUNTEER,0.0006906525,1,0.0010641795069337443
IMPORTANCE,0.0006901703,1,0.0010634365177195685
CRYPTOGRAPHY,0.0006900153,1,0.001063197688751926
SENDER,0.0006898631,1,0.0010629631741140215
MESSAGE,0.0006898631,1,0.0010629631741140215
WAY,0.0006898631,4,0.004251852696456086
MILITARY,0.0006888666,1,0.0010614277349768875
DIPLOMACY,0.0006888666,1,0.0010614277349768875
STABILITY,0.0006888666,1,0.0010614277349768875
SATELLITE,0.0006880954,1,0.0010602394453004624
AVAILABILITY,0.0006880954,1,0.0010602394453004624
USAGE,0.0006875016,1,0.0010593244992295838
ERROR DETECTION CODE,0.000687164,1,0.001058804314329738
NATION,0.00067110464,8,0.008272476302003081
INCAPACITY,0.000665697,1,0.001025727272727273
CONTROL CENTER,0.0006653405,1,0.001025177966101695
INFRASTRUCTURE OWNERS,0.0006640133,2,0.0020462659476117103
CYBERSECURITY PRACTICES,0.00066385133,1,0.001022883405238829
PART,0.0006637842,10,0.01022779969183359
CLOUD PRODUCTS,0.00066361413,1,0.0010225179198767333
PERFORMANCE MEASUREMENT,0.0006632133,1,0.0010219003081664098
MEASUREMENT,0.0006631675,2,0.0020436594761171034
EMERGENCY RESPONSE,0.0006623176,1,0.001020520184899846
RISK ASSESSMENT,0.0006620965,1,0.001020179506933744
DEVICES,0.00066091033,1,0.001018351818181818
AGENCIES,0.0006606336,4,0.004071701694915253
INTEGRATION CENTER,0.00066047197,1,0.0010176763790446842
DISRUPTION,0.0006602612,7,0.007121461325115564
VIRTUAL PRIVATE NETWORK,0.00065530115,1,0.0010097090138674884
APPLICATION,0.0006457725,3,0.0029850808936825886
OPERATOR,0.00064386363,4,0.003968342865947612
CIRCUITS,0.0006412092,2,0.0019759913713405237
PROGRESS,0.0006351821,1,0.000978708936825886
PROGRAMS,0.0006347242,3,0.0029340101694915253
FEDERAL GOVERNMENT,0.00062907813,2,0.0019386074884437594
DECISION,0.0006261538,6,0.005788787057010786
PORTION,0.0006248083,5,0.004813623266563945
ACCIDENTS,0.00062372355,4,0.003844212942989214
AIRCRAFT ACCIDENTS,0.00062372355,1,0.0009610532357473035
STORMS,0.00062372355,1,0.0009610532357473035
ATTACKS,0.00062372355,4,0.003844212942989214
ACCIDENT,0.00062372355,5,0.0048052661787365185
TERRORIST ATTACKS,0.00062372355,1,0.0009610532357473035
LOSS,0.0006231149,4,0.0038404616332819723
GROUPS,0.00062299863,3,0.0028798087673343603
PROTOCOLS,0.00062282744,1,0.0009596724807395996
THREAT INVESTIGATIONS,0.00062207476,1,0.0009585127272727274
MODE,0.00062172406,2,0.001915944714946071
UNITED STATES,0.0006186396,2,0.0019064394453004623
COMPUTER NETWORK,0.00061499677,2,0.0018952134668721108
TRANSIT AGENCIES,0.00060351513,1,0.0009299154545454547
RESOURCES,0.0005982184,6,0.005530524499229584
PRIVILEGES,0.0005843726,1,0.000900420030816641
DETERRENT,0.00058266154,1,0.0008977835747303543
PERIMETER,0.00058213354,1,0.0008969700154083205
TRACTION POWER,0.00058204914,1,0.0008968399691833591
APPROACH,0.00058180164,5,0.004482293066255778
OBJECTIVES,0.00058172096,3,0.002689002896764253
CYBERSECURITY FRAME-WORK,0.0005808169,1,0.0008949412942989215
DISASTERS,0.00057946314,5,0.00446427688751926
FIRES,0.00057946314,1,0.000892855377503852
ATTACKER,0.00057937595,1,0.0008927210323574731
CONDITIONS,0.0005792888,3,0.0026777602465331276
INPUTS,0.00057923165,3,0.0026774960708782747
SERVICE,0.00057879323,11,0.009810054745762714
OBJECTS,0.0005787896,1,0.0008918175654853621
DIRECTIONS,0.00057873625,1,0.0008917353620955316
PIV INTEROPERABLE,0.0005713491,1,0.0008803530046224961
REDUNDANCY,0.0005672205,2,0.0017479830508474576
SECURITY INCIDENT,0.0005634691,1,0.0008682112480739598
PRODUCT,0.000550565,4,0.0033933127889060094
RISK MANAGEMENT MEASURES,0.000533209,1,0.0008215855161787365
REGULATIONS,0.0005295098,1,0.0008158856702619415
CYBERSECURITY INFORMATION SHARING,0.00052823464,1,0.0008139208628659475
OUTPUTS,0.000528196,3,0.0024415839753466873
CONDITION,0.0005281171,3,0.0024412192604006165
METHOD,0.0005280006,4,0.003254240986132512
AUTHORIZATION,0.0005279818,1,0.0008135312788906009
APPLICATIONS,0.0005274825,3,0.002438285824345146
PROFILE,0.00052738894,1,0.0008126177812018489
PLC,0.0005273416,3,0.002437634514637904
AUTOMATION,0.00052730687,1,0.0008124913251155623
HUMANS,0.000527221,1,0.0008123590138674884
MACHINES,0.000527221,1,0.0008123590138674884
INFORMATION SHARING,0.00052711135,1,0.0008121900616332821
MATERIALS,0.0005270035,3,0.0024360716486902926
REGIONAL,0.00052693614,1,0.0008119200924499229
UNCERTAINTY,0.00052684493,2,0.0016235591063174116
FUNDS,0.0005267413,1,0.0008116198767334361
INTRUSION,0.0005266393,1,0.0008114627118644067
ACT,0.00052629417,37,0.030004444206471498
USERS,0.00052610476,1,0.0008106390755007704
MITIGATION,0.00052574155,2,0.0016201588597842835
PROPERTY,0.00052569754,3,0.0024300348536209554
POINT,0.00052561035,3,0.002429631818181818
CREDIT CARDS,0.0005247907,1,0.0008086143297380586
LIST,0.00051121577,2,0.0015753952850539293
ENTERPRISE ZONE,0.0005077726,1,0.0007823922958397534
FIRE LIFE-SAFETY SECURITY ZONE,0.0005065193,1,0.0007804611710323574
FEAR,0.0005063162,1,0.0007801482280431433
RECOGNITION,0.0004923752,1,0.0007586674884437597
COMMON LANGUAGE INITIATIVE TEAM,0.00048639355,1,0.0007494507704160246
DISPATCH,0.00048059731,1,0.0007405197380585517
CASES,0.00048052295,1,0.0007404051617873653
BENEFITS,0.0004799255,3,0.0022184537750385208
TERRORISM,0.00047966363,3,0.002217243281972265
RELEVANCE,0.00047920144,2,0.001476737873651772
COMPUTER SECURITY THREATS,0.00047193663,1,0.0007271750847457626
SECTION,0.0004717321,1,0.000726859938366718
TRANSPORTATION,0.0004684784,4,0.0028873861325115564
USCG,0.0004658207,1,0.0007177514637904469
RECIPIENT,0.000465541,1,0.0007173204930662558
BLUE LIGHT,0.00046342897,1,0.0007140662095531588
EMERGENCY CUTOFF,0.00046342897,1,0.0007140662095531588
ANXIETY,0.00046328898,1,0.0007138505084745763
DOUBT,0.00046328898,1,0.0007138505084745763
QUALITY,0.00046282404,1,0.0007131341140215716
EVALUATION,0.0004626978,1,0.0007129395993836672
ADOPTION,0.0004620486,1,0.0007119392912172573
MONITORING,0.00046188346,1,0.0007116848382126349
CABLE,0.00046182948,1,0.0007116016640986133
EMERGENCY VENTILATION,0.00046151562,1,0.0007111180585516178
FIRE ALARMS,0.00046151562,1,0.0007111180585516178
FRAMEWORK IMPLEMENTATION TIERS,0.00046136483,1,0.0007108857164869029
CRITICAL SECURITY ZONE,0.00046136155,3,0.002132641987673344
HARM,0.0004610746,2,0.0014208770416024655
SPILLS,0.00046102764,1,0.0007103661633281972
TORNADOES,0.00046102764,1,0.0007103661633281972
HURRICANES,0.00046102764,1,0.0007103661633281972
EARTHQUAKES,0.00046102764,1,0.0007103661633281972
FLOODS,0.00046102764,1,0.0007103661633281972
MALWARE,0.00046053456,1,0.0007096064098613251
RELATIONSHIP,0.00046049178,1,0.0007095404930662558
SECURITY MECHANISMS,0.00046040711,1,0.000709410030816641
SUITE,0.00046036523,1,0.0007093455007704161
IP PACKET,0.00046032367,1,0.0007092814637904468
COMMUNICATION SESSION,0.00046032367,1,0.0007092814637904468
USES,0.0004602007,2,0.0014181839753466873
REPRESENTATION,0.00045980889,1,0.0007084882742681048
COORDINATES,0.00045965932,2,0.0014165156240369798
EXPERTISE,0.00045965932,1,0.0007082578120184899
PURPOSE,0.00044847323,6,0.00414613155624037
TRANSPORTATION SYSTEM DISRUPTION,0.00044830213,1,0.0006907582896764253
OWNER,0.0004481361,4,0.0027620098613251156
GOAL,0.00043722236,3,0.002021058674884438
INTRUDER,0.00043682687,1,0.000673076841294299
CYBERSECURITY FRAMEWORK,0.00043127773,1,0.0006645265485362095
HTTP://WWW.CYBERRISKINSURANCEFORUM.COM/CONTENT/CYBER-SECURITY-GLOSSARY,0.00042805303,1,0.0006595578274268105
HTTP://WWW.ISACA.ORG/KNOWLEDGE-CENTER/DOCUMENTS/GLOSSARY/CYBERSECURITY_FUNDAMENTALS_GLOSSARY.PDF,0.0004277485,1,0.0006590885978428352
HTTP://NICCS.US-CERT.GOV/GLOSSARY,0.00042766694,1,0.0006589629275808936
PDF HTTP://WWW.NIST.GOV/CYBERFRAMEWORK/UPLOAD/CYBERSECURITY-FRAMEWORK-021214.PDF,0.00042761856,0,0.0
TIMELINESS,0.00042223494,1,0.0006505931278890601
TRACK CIRCUIT,0.00042221474,1,0.0006505620030816641
CIRCUIT,0.00042217463,3,0.001951500600924499
TRACK,0.00042217463,2,0.0013010004006163327
AREA,0.0004221348,4,0.0026017553158705705
WIRES,0.00042186416,3,0.0019500654545454544
DEMANDS,0.00042049622,1,0.0006479140523882896
SCALE,0.00042049622,1,0.0006479140523882896
SOME,0.00042047675,5,0.003239420261941449
FIXES,0.00042008216,1,0.0006472760554699537
CARD SCHEMES,0.00041996103,1,0.0006470894144838213
EXPRESS,0.00041993117,1,0.0006470434052388289
EFFICIENCY,0.00041978442,1,0.0006468172881355931
READERS,0.0004196699,1,0.0006466408320493066
PROVISIONS,0.00041944807,1,0.0006462990292758089
PLANS,0.00041936725,1,0.000646174499229584
TERMINOLOGY,0.0004192449,1,0.0006459859784283513
RISK AVOIDANCE,0.00041908107,1,0.0006457335439137134
SURVIVORS,0.00041898075,1,0.0006455789676425269
DEVELOPMENT,0.00041895598,1,0.0006455408012326656
SECURITY TERMS,0.00041844093,2,0.0012894943913713405
CYBERSECURITY TERMS,0.00041838043,1,0.0006446539753466872
LOGIC CONTROLLER,0.00041293047,2,0.0012725130046224963
CYCLIC REDUNDANCY CHECK,0.00040671823,1,0.0006266844838212635
CRC,0.00040671823,1,0.0006266844838212635
SIDE,0.00040515553,8,0.004994213004622496
REQUIREMENTS,0.00040308872,1,0.0006210920184899847
POTENTIAL,0.0003997306,4,0.002463670878274268
VIEWPOINT,0.0003963827,1,0.0006107591679506934
INDIVIDUAL,0.00039230855,3,0.0018134447611710322
PRESENCE,0.0003922148,1,0.0006043371340523883
WORK,0.00039215942,28,0.016919050477657935
REGISTER,0.00039175432,1,0.0006036276117103236
CONTROL SYSTEM,0.00037961706,6,0.0035095567950693372
GLOSSARY,0.00037833035,13,0.007578265870570107
CYBER SECURITY GLOSSARY,0.0003782994,3,0.0017486875192604004
OPERATIONS CONTROL CENTER,0.0003574412,1,0.0005507568567026194
ID,0.00035684244,61,0.033539890354391366
REPUDIATION,0.00035682507,1,0.0005498075038520801
INFORMATION DISCLOSURE,0.00035682507,1,0.0005498075038520801
PRIVILEGE,0.00035682507,2,0.0010996150077041602
EMPLOYEE-EMPLOYER DISPUTE,0.00035663822,1,0.0005495195993836671
CONNECTIONS,0.0003564429,3,0.0016476559322033894
VULNERABILITY,0.00035634838,1,0.0005490730046224961
ELECTROMAGNETIC SPECTRUM,0.0003562558,1,0.0005489303543913713
TRANSPORTATION INDUSTRIAL CONTROL SYSTEMS,0.00035375397,1,0.0005450754545454546
FEDRAMP,0.0003528934,2,0.0010874989214175654
SUPPORT,0.00035214686,1,0.0005425991679506933
POLICY DIRECTIVE- CRITICAL INFRASTRUCTURE SECURITY AND RESILIENCE,0.00034513237,1,0.0005317910169491526
SC-216 AERONAUTICAL SYSTEMS SECURITY,0.00034509393,1,0.0005317317873651772
ELECTRONIC SECURITY PERIMETER,0.00034475166,1,0.000531204406779661
RECOMMENDATIONS,0.00034071604,1,0.0005249861941448382
COMMITTEE ON NATIONAL SECURITY SYSTEMS,0.00033537942,1,0.0005167633590138675
RADIO TECHNICAL COMMISSION FOR AERONAUTICS,0.0003349355,1,0.0005160793528505393
