JOURNEY,0.0018350142,2,0.008359973576309795
MISE-EN-SCÈNE,0.0018185142,3,0.01242720410022779
L-CUT,0.0017941771,1,0.004086963781321185
THING,0.0017817037,15,0.060878258542141225
MONOLOGUE,0.0017772252,2,0.008096697949886105
NORMA DESMOND,0.0017695809,1,0.004030935990888383
DIRECTION,0.001707907,3,0.01167134624145786
CELEBRITY,0.0016732914,2,0.0076231954441913444
THE FALL,0.0016723766,1,0.0038095138952164006
DEPARTMENT,0.0016653098,1,0.003793416400911162
PROMPT,0.0016362865,2,0.007454608200455581
EXAM SUBMISSION,0.001633844,1,0.003721740318906606
REVISIONS,0.0016316622,1,0.0037167703872437357
READING SKILLS,0.0016296229,1,0.0037121250569476082
EXCUSES,0.0016278937,1,0.0037081861047835994
HANDOUT,0.0016247141,1,0.0037009432801822324
HELP,0.0016247141,5,0.018504716400911163
FORMATTING,0.0016207183,1,0.003691841230068337
DEPTH,0.0016184336,1,0.003686636902050114
F-D,0.0016173811,1,0.0036842394077448745
LECTURE,0.0016136456,1,0.0036757302961275625
PASSING GRADE,0.0016136456,1,0.0036757302961275625
SYMBOLISM,0.0016120083,1,0.0036720006833712983
DIFFERENCE,0.0016071413,1,0.0036609141230068334
SIMILARITY,0.0016071413,1,0.0036609141230068334
RESPONSE,0.0015580113,1,0.0035490006833712984
AFRICAN- AMERICAN,0.0014539168,0,0.0
INSIGHT,0.0014139629,4,0.012883488838268793
DOCUMENT,0.0013854904,1,0.0031560145785876994
SYSTEM,0.0013738191,3,0.0093882854214123
SHOT CHOICE,0.0013680651,1,0.0031163214123006836
CAMERA,0.0013618708,3,0.009306634168564922
CLOSE-UPS,0.0013601771,3,0.009295059908883827
WAR BOY,0.001340022,12,0.036629302961275624
VIEWER,0.0013051594,27,0.08027176264236903
OTHER,0.0012925293,12,0.03533109703872437
DRUM BEATS,0.0012716155,5,0.014483092255125285
STORIES,0.0012361842,5,0.014079546697038725
ESCAPE,0.0012312082,7,0.019632021412300683
PEOPLE,0.0012240513,1,0.0027882717539863327
DESIRE,0.0011948457,3,0.008165232574031891
SERIES,0.0011670018,1,0.002658318451025057
BOUTS,0.0011650649,2,0.005307812756264237
EXAMPLE,0.0011614759,1,0.002645730979498861
NONE,0.001138127,2,0.005185088838268793
ENGL 2250,0.0011266484,1,0.0025663972665148065
ELEMENT,0.0011153383,2,0.005081267881548975
VEHICLE,0.0010883602,2,0.004958360820045558
WHEEL,0.0010692098,6,0.014613345785876993
GIRL,0.0010464658,1,0.0023837489749430523
SCREENPLAYS,0.001034931,1,0.002357473804100228
SOUND,0.001022688,13,0.030284610478359907
MAX OF SUNSET,0.0010053634,1,0.002290121640091116
POISON,0.0010037029,1,0.002286339179954442
ESCAPES,0.001000724,2,0.004559107061503417
SENSE,0.00095740246,4,0.008723484829157175
SOUND-EDITING,0.00094495056,2,0.004305013940774488
DRUM BEAT,0.0009316537,8,0.01697774396355353
TERMS,0.0009247931,3,0.006319770615034169
MELVIN VAN PEEBLES,0.0009210323,1,0.0020980234624145785
ANYTHING,0.00091558055,3,0.006256814692482916
ALEXANDRIA,0.0009063566,2,0.004129187243735763
STYLE,0.0008895497,4,0.008105236446469249
READING,0.0008798564,3,0.006012686104783598
SUCCESS,0.0008789496,5,0.01001081548974943
COMMENTARY,0.0008783779,1,0.002000860820045558
CAMERA SHOTS,0.0008425815,1,0.0019193200455580866
ATTEMPT,0.000827652,3,0.005655936218678816
STATE,0.0008258787,3,0.00564381799544419
MOUNTAIN,0.00081231,2,0.0037007289293849656
CONFRONTATION,0.0007829031,1,0.001783378359908884
SOUNDS,0.00077576877,1,0.0017671270387243736
INTERVIEW SHOTS,0.0007705735,1,0.0017552927107061503
ARRANGEMENT,0.0007677194,2,0.003497582687927107
LIVING ARRANGEMENT,0.00076749554,1,0.0017482814123006834
MONEY,0.0007672768,3,0.005243349430523917
PART,0.00076664885,7,0.012224469134396355
RESULT,0.00076625193,6,0.010472691526195899
STORY-WORLD,0.0007607303,1,0.0017328708428246014
ARTIST,0.000758058,1,0.0017267835990888384
ACT,0.0007558242,23,0.03959898997722096
CHOICE,0.00073011,5,0.008315603644646924
ALL,0.00072260137,2,0.003292033576309795
DISCONTINUITY EDITING,0.0007221624,3,0.004935050569476082
SHADOWS,0.00070725876,1,0.0016110677904328018
LENS,0.00070656853,1,0.001609495512528474
PICTURES,0.0006986427,1,0.001591441230068337
DANGER,0.0006980171,5,0.007950080865603646
PICTURE,0.0006978181,2,0.0031791257403189065
MIND,0.0006978181,2,0.0031791257403189065
EXTENSION,0.000697247,1,0.0015882619589977223
MESSAGES,0.00069653935,1,0.00158665
LIFESTYLE,0.00069634384,1,0.0015862046469248292
ROY OF THE FALL,0.0006862218,1,0.0015631476082004557
CHOICES,0.00067557447,2,0.0030777880182232347
DESIRES,0.00064899743,1,0.001478354054669704
EDITING,0.0006464879,7,0.010308463097949886
SWEETBACK,0.00064058823,1,0.001459198701594533
CLAIM,0.0006339022,9,0.012995717084282458
FILM TERMS,0.0006185285,2,0.0028178974943052393
DIALOGUE,0.00061832735,6,0.008450943280182232
MESSAGE,0.00061644556,2,0.0028084080182232346
JUMP-CUT,0.00061269454,11,0.01535225498861048
MILLIONS,0.0006111837,1,0.0013922179954441911
RELATION,0.0006111837,1,0.0013922179954441911
WEALTH,0.0006106364,1,0.001390971298405467
MANSION,0.0006104623,1,0.001390574715261959
ANTICS,0.0006104623,1,0.001390574715261959
DEATH,0.0006101256,1,0.0013898077448747151
IDENTITY,0.0006099627,1,0.0013894366742596813
HOSPITAL,0.0006099627,1,0.0013894366742596813
PROMISES,0.00060980313,1,0.0013890731890660592
UNHAPPINESS,0.00060964684,1,0.0013887171753986334
PEDESTAL,0.00060964684,1,0.0013887171753986334
NOTORIETY,0.00060964684,1,0.0013887171753986334
IDOLATRY,0.00060964684,1,0.0013887171753986334
CIRCUMSTANCES,0.0006094937,1,0.0013883683371298406
CHANCE,0.0006091964,1,0.001387691116173121
BEGINNING,0.0006091964,1,0.001387691116173121
HOUSE,0.0006091964,1,0.001387691116173121
TOP,0.0006091964,1,0.001387691116173121
ADDICTION,0.0006090519,1,0.001387361958997722
FANTASIES,0.0005884697,1,0.0013404776765375854
SUCCESSION,0.000586702,1,0.0013364510250569476
MANY,0.0005829612,2,0.002655859681093394
SITUATION,0.00058238255,2,0.0026532234624145785
DANGERS,0.0005735672,1,0.001306531207289294
SURVIVAL,0.00057346537,2,0.002612598496583144
ROY'S,0.000565642,0,0.0
LIGHTING,0.0005632833,2,0.0025662109339407747
LIGHT,0.0005632198,10,0.01282960820045558
SENSES,0.0005526153,1,0.001258804783599089
JUMP-CUTS,0.0005525361,4,0.005034497494305239
JAZZ,0.0005525361,4,0.005034497494305239
THEME,0.0005523038,4,0.005032380865603645
INTENSITY,0.00053619617,3,0.0036642107289293854
MUSIC,0.00053541845,5,0.0060981600227790434
PRISON,0.0005190064,4,0.0047289876993166285
DRUG,0.0005165911,3,0.0035302353075170843
FILM LANGUAGE,0.00051427085,2,0.002342919589977221
TYPES,0.0005131821,1,0.0011689797266514806
CHAOS,0.0005131109,3,0.0035064526195899767
CAMERA DOLLYING,0.0005129709,1,0.0011684986332574033
SWEET SWEETBACK,0.0005089118,1,0.0011592523917995444
AMALGAM,0.00050664315,1,0.001154084624145786
PROSPERITY,0.0005048185,1,0.0011499282460136675
ATTENTION,0.00050440186,2,0.002297958359908883
LAW,0.00050405285,4,0.004592736674259682
TIMES,0.0005039965,1,0.0011480558086560365
DENOUEMENT,0.0005035086,1,0.0011469444191343965
INABILITY,0.00050252484,1,0.001144703507972665
REALITY,0.0005015864,1,0.0011425658314350798
BUILDINGS,0.00050004787,1,0.0011390612072892938
BODY LANGUAGE,0.00047224987,1,0.0010757400227790434
POWER,0.0004696061,3,0.0032091533029612756
DOLLYING,0.00046919147,2,0.002137546560364465
WITHDRAWAL,0.00046909685,2,0.00213711548974943
POLICE SIREN,0.0004682835,2,0.002133410022779043
SIREN,0.0004682835,3,0.003200115034168565
ARRAY,0.00046823116,1,0.0010665857858769931
PATH,0.00046802926,2,0.0021322517539863325
CANVAS,0.00046779017,2,0.002131162505694761
CINEMATOGRAPHY,0.00046779017,1,0.0010655812528473805
WAYS,0.00046756046,3,0.003195173986332574
NARRATIVE,0.00046756046,2,0.0021301159908883828
OBSERVATIONS,0.00046741217,2,0.002129440410022779
CLICHÉS,0.0004673394,2,0.002129108883826879
NINETEEN-SEVENTIES,0.00046672235,2,0.002126297722095672
PIECES,0.00046672235,2,0.002126297722095672
PATHOS,0.00046672235,1,0.001063148861047836
BRIDGE,0.00046659366,2,0.0021257114350797263
MIX,0.00046653033,2,0.0021254229157175396
QUESTION,0.00046653033,3,0.0031881343735763097
RUN,0.0004664677,6,0.0063754127562642374
SOUND DESIGN,0.00043838873,2,0.001997215170842825
SPOTLIGHT,0.00042713474,3,0.002918916218678815
PERSPECTIVE,0.00042671384,1,0.0009720133029612756
POLICE CARS,0.00042660336,1,0.0009717616400911161
IMAGES,0.00042654897,1,0.0009716377448747153
DISSOLVE,0.0004264418,2,0.0019427872437357632
POWERLESSNESS,0.00042633674,1,0.00097115430523918
IMAGE,0.00042633674,2,0.00194230861047836
PERSON,0.00042608284,1,0.0009705759453302962
VISUALS,0.0004259361,2,0.0019404833712984052
ANGLES,0.00042584047,1,0.0009700238496583143
FACES,0.00042584047,1,0.0009700238496583143
COWORKERS,0.00042570324,1,0.0009697112528473803
PIVOT POINTS,0.00041946003,1,0.0009554898177676537
DISCOVERY,0.0004194227,1,0.0009554047835990889
CAVE,0.00041934877,6,0.0057314182687927115
WHEELS,0.00041923983,3,0.002864964669703873
DISCOMFORT,0.00041889222,1,0.0009541964009111618
BADDASSSSS SONG,0.0004145758,2,0.0018887280182232344
CAREER,0.00041054338,1,0.00093517854214123
METAPHOR,0.00041036977,3,0.0028043492255125286
NO ONE,0.0004102851,1,0.0009345902050113896
DOCTORS,0.0004102851,1,0.0009345902050113896
NUNS,0.0004102851,1,0.0009345902050113896
SUICIDE,0.0004100392,1,0.0009340300683371299
DEVICES,0.0004100392,1,0.0009340300683371299
END,0.00040980455,12,0.011201946697038724
ACTOR,0.00040980455,1,0.0009334955580865605
CONCLUSIONS,0.00040958013,1,0.0009329843507972665
VORTEX,0.0004094358,1,0.0009326555808656036
POIGNANCY,0.0004094358,1,0.0009326555808656036
TALES,0.0004094358,1,0.0009326555808656036
GLANCE,0.00040852543,1,0.0009305818451025056
TECHNIQUES,0.00040834973,1,0.0009301816173120729
CITY,0.0004081799,1,0.0009297947608200456
LANDSCAPE,0.0004081799,1,0.0009297947608200456
PAN,0.0004081799,5,0.004648973804100227
CLOSE-UP,0.0004081799,5,0.004648973804100227
MOVE,0.00040812453,3,0.0027890058997722096
TRAINS,0.00040812453,1,0.0009296686332574031
PANIC,0.00040806973,2,0.0018590876082004556
RUNNING,0.0004080155,3,0.0027882608200455582
GROUPS,0.00039984658,1,0.0009108122551252847
MOTIVES,0.00039812402,1,0.0009068884282460136
REPRESENTATIVE,0.00039315628,2,0.0017911447835990888
INCREASE,0.00038767408,2,0.001766168929384966
UNEASE,0.00037334123,1,0.0008504356036446469
EXCEPTION,0.00037329216,1,0.000850323826879271
TRANSITION,0.0003732436,1,0.0008502132118451025
POLICE OFFICERS,0.0003731955,1,0.0008501036446469248
NUMBER,0.0003731955,1,0.0008501036446469248
ROLLERCOASTER,0.000372917,1,0.0008494692482915717
WHEREABOUTS,0.00037282775,1,0.0008492659453302961
BRASSY,0.00037282775,1,0.0008492659453302961
BACKGROUND,0.00037282775,1,0.0008492659453302961
MATTER,0.00037274015,4,0.003396265603644647
RACISM,0.00037274015,1,0.0008490664009111618
TRUST,0.00037274015,3,0.002547199202733485
VOICES,0.00037274015,1,0.0008490664009111618
IMMEDIACY,0.00037256975,1,0.0008486782460136674
CARS,0.00035290534,2,0.0016077692027334852
ACTIONS,0.0003488161,1,0.0007945697038724374
LINES,0.0003487846,2,0.0015889958997722094
SPOTLIGHTS,0.00034869145,1,0.0007942857630979498
ACTION,0.00034845233,3,0.0023812232118451027
COLORS,0.0003481981,1,0.0007931619589977221
PARTS,0.0003481981,1,0.0007931619589977221
LITTLE,0.00033549406,1,0.0007642233712984055
SHOT JUMP-CUTS,0.0003341209,1,0.000761095444191344
EVENTS,0.00033303042,1,0.0007586114350797267
DRUMMERS,0.00032593778,1,0.0007424550797266515
DRUM,0.00032591293,9,0.006681586264236902
SOMEONE,0.0003256261,1,0.0007417451025056948
MOMENTS,0.00031720678,2,0.0014451333940774488
ELSEWHERE,0.00031712206,1,0.0007223737129840547
BENCH,0.0003170666,2,0.0014444947608200456
FACE,0.00031695786,2,0.0014439993621867882
SOCIETY,0.00031687823,2,0.001443636583143508
SCREEN,0.00031685203,2,0.0014435172209567198
HEADS,0.00031682602,1,0.0007216993621867882
CHARACTER ELEMENTS,0.0003167745,1,0.0007215820045558085
DISTRUST,0.00031674898,2,0.0014430477448747151
COLOR-CONTRAST,0.00030290065,1,0.0006899787015945331
WAR-BOYS,0.0003026483,1,0.0006894038724373576
CHARACTER DESIGN,0.00030239086,1,0.0006888174487471527
DESIGN,0.0003023702,4,0.002755081548974943
SILENCE,0.00028202237,1,0.0006424199772209566
MOODS,0.0002774686,1,0.0006320469248291572
ADVENTURE,0.0002774439,1,0.0006319906605922551
CAGES,0.00027741937,1,0.0006319347835990888
UPRIGHT,0.00027741937,2,0.0012638695671981777
ANY,0.00027732295,6,0.0037902908883826877
ITEMS,0.00027732295,1,0.0006317151480637813
VALUE,0.00027729926,1,0.0006316611845102506
NOTICE,0.00027727574,1,0.0006316076082004556
NON-HOLLYWOOD,0.00027726704,1,0.0006315877904328019
REST,0.00027725234,1,0.0006315543052391801
SKIN,0.00027722915,1,0.0006315014806378131
KING,0.00027720607,5,0.0031572445330296127
EXISTENCE,0.00027720607,1,0.0006314489066059226
GOD,0.00027720607,1,0.0006314489066059226
LOOK,0.00027718316,2,0.0012627934396355351
VEST,0.0002771604,1,0.000631344874715262
KNIVES,0.0002771604,1,0.000631344874715262
GADGETS,0.0002771604,1,0.000631344874715262
HAIR,0.0002771604,1,0.000631344874715262
CLUMPS,0.0002771604,1,0.000631344874715262
LIPS,0.0002771604,2,0.001262689749430524
SCARRING,0.0002771604,1,0.000631344874715262
BRUTALITY,0.0002771378,1,0.0006312933940774487
CREATURES,0.000277093,1,0.0006311913439635536
EXPOSITION,0.00027707082,1,0.0006311408200455581
ROLE,0.00027627873,1,0.0006293365148063781
EVENT,0.00026817914,4,0.00244354569476082
DRUM BEAT LINES,0.00025908664,1,0.0005901745785876993
MORE,0.00024096867,10,0.00548903576309795
DIEGETIC,0.00024094997,11,0.006037470774487471
LOUDNESS,0.00024091292,3,0.001646329749430524
LINE,0.00024063181,5,0.002740681207289294
MISE-EN-SCENE,0.0002258316,1,0.0005144227790432801
SWITCH,0.00022322581,1,0.0005084870387243736
HEAD,0.00021910081,4,0.0019963627334851934
CONFUSION,0.00021900212,1,0.0004988658769931663
GROUND,0.00021890686,5,0.002493244419134396
THINGS,0.00021887584,1,0.0004985782232346242
UNDERSTANDING,0.00021886044,2,0.0009970862870159452
EXTENT,0.00021884515,1,0.0004985083143507973
INTERRUPTIONS,0.00021731418,1,0.0004950209111617312
REPETITION,0.00020506565,1,0.0004671199316628701
QUIZ,0.00019880512,1,0.00045285904328018224
ATTITUDE,0.00019166936,1,0.0004366044646924829
ENGINES,0.00019165475,1,0.0004365711845102505
HUNDREDS,0.00019165475,1,0.0004365711845102505
ORDER,0.00019164024,1,0.000436538132118451
FIGHT,0.00019155492,1,0.0004363437813211845
NEED,0.000191541,4,0.0017452482915717537
SOUND-EDITING DECISION,0.000191541,1,0.00043631207289293844
NOTHING,0.00019148608,1,0.00043618697038724373
YELLING,0.00019148608,2,0.0008723739407744875
HALT,0.00019144571,1,0.00043609501138952165
CONNECTIONS,0.000191406,1,0.000436004555808656
MAN,0.00019008623,10,0.004329982460136675
JAZZ MUSIC,0.00017515026,1,0.00039897553530751704
COMMUNITIES,0.00017504097,1,0.000398726583143508
CLARITY,0.00016786423,2,0.0007647573120728929
MAD MAX: FURY ROAD,0.00016359339,1,0.0003726500911161731
POLICE SIRENS,0.00015322118,1,0.0003490231890660592
STRUGGLES,0.00015312557,1,0.00034880539863325736
NINETEEN- SEVENTIES,0.00013926133,0,0.0
THIRD,0.00012191454,1,0.0002777096583143508
MEN,0.000121888545,22,0.006108309772209567
GOVERNMENT,0.00012187571,1,0.00027762120728929383
EYES,0.00012187571,1,0.00027762120728929383
DISORIENTATION,0.000121862984,1,0.0002775922186788155
REASON,0.000121862984,1,0.0002775922186788155
SPITE,0.000121837846,3,0.0008326048701594533
INFORMATION,0.000121825426,1,0.00027750666514806375
DOTS,0.000121825426,1,0.00027750666514806375
UNFAIRNESS,0.000121825426,1,0.00027750666514806375
TENSION,0.000121718,2,0.0005545239179954442
LOT,0.00012165037,1,0.0002771079043280182
AESTHETIC,0.00011418266,1,0.00026009717539863327
FURIOSA,0.00011325662,1,0.0002579877448747153
IMMORTAN JOE,0.00011325662,1,0.0002579877448747153
TRINITY SYNDROME,0.00011324891,1,0.0002579701822323463
BITS,0.00011015848,2,0.0005018609567198178
