35.3,283.28,0.01
PHOTO BOOTH VAPORWARE IRONY,0.00058167643,1,0.0007613565837696335
NARWHAL STREET ART,0.0005813449,1,0.0007609226439790576
SYNTH KALE CHIPS MESSENGER BAG BIODIESEL,0.00057260646,1,0.0007494848952879582
MAN BUN CRONUT MIXTAPE SYNTH HELL,0.0005716911,1,0.000748286780104712
SEMIOTICS HELL,0.00057134253,1,0.0007478305366492147
IRONY HELL,0.00056882465,1,0.0007445348821989529
DREAMCATCHER BICYCLE RIGHTS HELLA,0.00056792214,1,0.0007433535863874345
DENIM SUBWAY TILE,0.0005657061,1,0.0007404530104712042
MESSENGER BAG LETTERPRESS TOTE BAG,0.0005651456,1,0.0007397193717277486
SHORTS,0.00056469894,18,0.013304425287958116
PORTLAND VICE,0.00056452106,1,0.0007389019109947644
MESSENGER BAG CORNHOLE RACLETTE SWAG,0.00056427956,1,0.0007385858115183247
KINFOLK,0.0005611716,17,0.012486802617801048
INTELLIGENTSIA SWAG,0.0005598025,1,0.0007327257853403142
SELVAGE COLORING BOOK CRAFT BEER,0.00055961363,1,0.0007324785732984294
KEYTAR TUMERIC QUINOA VICE,0.00055947533,1,0.000732297552356021
KITSCH,0.0005568364,14,0.010203808376963353
BRUNCH KEYTAR,0.00055344205,1,0.0007244005890052357
STREET ART HEIRLOOM KEYTAR,0.0005532817,1,0.0007241907068062828
LO-FI SYNTH,0.0005432623,1,0.0007110763089005235
VHS,0.0005429379,21,0.014923685732984296
BEARD FANNY PACK FOOD TRUCK,0.0005425803,1,0.0007101836387434555
SUBWAY TILE FOOD TRUCK,0.0005423653,1,0.00070990222513089
COLORING BOOK,0.0005419138,2,0.0014186225130890053
XOXO,0.00054151926,23,0.016302281387434555
COPPER MUG KEFFIYEH LETTERPRESS SUCCULENTS HEXAGON COLORING BOOK,0.00053807907,1,0.0007042919764397905
DRINKING VINEGAR COLORING BOOK,0.0005369065,1,0.0007027571989528796
DRINKING VINEGAR PHOTO BOOTH,0.00053682114,1,0.0007026454712041885
PALO,0.00053518894,18,0.012609163507853403
PITCHFORK MIXTAPE BLOG FARM,0.00053449493,1,0.0006996006937172775
MEGGINGS FANNY PACK,0.00053417386,1,0.000699180445026178
PINTEREST TAXIDERMY FANNY PACK,0.0005335757,1,0.0006983975130890053
HAMMOCK MICRODOSING BANJO KEYTAR PITCHFORK HEALTH GOTH BEARD,0.0005315315,1,0.0006957218586387434
KEFFIYEH WAYFARERS,0.0005310466,1,0.0006950871727748691
POUTINE FANNY PACK,0.0005300227,1,0.0006937469895287958
FANNY PACK,0.00052982644,18,0.012482821884816753
FORAGE EDISON BULB,0.0005270548,1,0.0006898623036649214
PINTEREST,0.0005268527,23,0.015860748821989526
UMAMI CELIAC MASTER CLEANSE SYNTH LEGGINGS,0.00052665663,1,0.0006893411387434555
PRISM GASTROPUB LEGGINGS,0.000526355,1,0.0006889463350785341
LEGGINGS,0.0005261022,17,0.011706462565445027
WOLF MOON,0.00052534015,15,0.010314269960732984
COFFEE TRUST FUND SALVIA,0.00052446057,1,0.0006864667146596859
SUBWAY TILE MAN BRAID HOODIE,0.0005208942,1,0.0006817986910994765
BEARD HEALTH GOTH JIANBING,0.0005195754,1,0.0006800725130890053
SWAG INTELLIGENTSIA,0.00051850936,1,0.0006786771727748691
HASHTAG IRONY VINYL MEDITATION PRISM MIXTAPE,0.00051850936,1,0.0006786771727748691
CLOUD BREAD BANJO,0.0005181921,1,0.0006782619109947644
CHARCOAL MASTER CLEANSE ENNUI NARWHAL RACLETTE,0.00051749696,1,0.0006773520418848167
MESSENGER BAG MUSTACHE ECHO PARK BICYCLE RIGHTS MAN BRAID SUBWAY TILE,0.00051730836,1,0.0006771051832460734
JIANBING VICE,0.0005172499,1,0.000677028664921466
CRAFT BEER RAMPS LETTERPRESS INTELLIGENTSIA,0.00051712705,1,0.0006768678664921465
BIODIESEL VICE,0.00051707774,2,0.0013536066492146597
PABST VICE,0.0005166935,1,0.000676300392670157
FOOD TRUCK AFFOGATO SUBWAY TILE,0.00051623164,1,0.0006756958638743455
COLORING BOOK HEXAGON DISTILLERY SEMIOTICS UMAMI,0.00051489024,1,0.0006739401047120418
HEALTH GOTH INTELLIGENTSIA,0.00051464635,1,0.0006736208769633508
PRISM RACLETTE,0.0005143543,1,0.0006732386125654449
BIODIESEL KALE CHIPS,0.00051391363,1,0.0006726618193717279
TRUFFAUT RACLETTE,0.00051325787,1,0.000671803494764398
LOMO SELVAGE SLOW-CARB,0.0005129313,1,0.0006713760471204188
LA CROIX,0.0005128411,18,0.012082643717277486
KICKSTARTER SWAG KALE CHIPS,0.00051279645,1,0.0006711995418848167
BEARD INTELLIGENTSIA,0.00051266444,1,0.0006710267539267016
PORTLAND KEYTAR,0.0005106193,1,0.0006683498691099477
KOGI SQUID,0.0005103627,1,0.0006680140052356021
LYFT SQUID,0.0005101431,1,0.0006677265706806284
SWAG CLICHE,0.00050953025,1,0.0006669244109947643
LO-FI TILDE SUCCULENTS,0.00050848,1,0.0006655497382198951
HELVETICA SQUID SUCCULENTS,0.0005083809,1,0.0006654200261780105
TOTE BAG COPPER MUG,0.00050778745,1,0.0006646432591623037
CORNHOLE FAM,0.000505813,1,0.0006620589005235602
BRUNCH CLICHE,0.0005057545,1,0.0006619823298429319
DRINKING VINEGAR POKE,0.0005056966,1,0.0006619065445026178
VEXILLOLOGIST,0.0005056392,18,0.011912965445026177
RACLETTE SUCCULENTS,0.0005055823,1,0.0006617569371727748
GODARD SEMIOTICS ARTISAN SUCCULENTS,0.00050514535,1,0.0006611850130890053
KEFFIYEH HOODIE TUMERIC TAXIDERMY LISTICLE BICYCLE RIGHTS VEXILLOLOGIST,0.0005050408,1,0.000661048167539267
SEMIOTICS PORK BELLY,0.0005046883,1,0.000660586780104712
BEER SUBWAY TILE PLAID,0.0005046395,1,0.0006605229057591623
RAMPS,0.00050406344,16,0.010556302408376964
LO-FI UGH CLICHE,0.0005039948,1,0.000659679057591623
MUG,0.0005039513,18,0.011873198167539265
SELVAGE GOCHUJANG IRONY CLOUD BREAD,0.0005039513,1,0.0006596221204188482
SQUID PLAID,0.00050369627,1,0.0006592883115183245
SCHLITZ,0.0005034005,15,0.00988351767015707
LOKO SRIRACHA TRY,0.0005001362,1,0.0006546285340314137
SELVAGE,0.0005001362,18,0.011783313612565445
HELVETICA SELVAGE,0.0004998052,1,0.0006541952879581152
NEUTRA,0.00049949135,16,0.010460551832460734
HEXAGON ENNUI TOTE BAG BIODIESEL BANH,0.00049929076,1,0.0006535219371727748
RETRO,0.00049896527,13,0.008490246740837695
FANNY PACK BANH,0.00049890846,1,0.0006530215445026177
JUICE SCENESTER COLORING BOOK,0.0004963937,1,0.0006497299738219896
SHOREDITCH LO-FI,0.00049624837,1,0.0006495397513089005
TILDE FAM COLORING BOOK,0.00049579394,1,0.0006489449476439792
BANH,0.0004946849,17,0.011007386518324608
PALEO TRUST FUND,0.000490709,1,0.0006422892670157067
DREAMCATCHER TRUST FUND,0.0004903024,1,0.0006417570680628273
CRAFT BEER CORNHOLE,0.0004902668,2,0.001283420942408377
MAN BUN TYPEWRITER,0.0004900232,1,0.0006413916230366492
VAPE,0.0004896275,15,0.009613105366492148
PORK BELLY FASHION,0.0004892265,1,0.0006403488219895287
UNICORN DISTILLERY BRUNCH,0.00048907916,1,0.0006401559685863874
MAN BUN VICE COLORING BOOK CORNHOLE,0.0004872634,1,0.0006377793193717277
DENIM KEFFIYEH,0.00048670766,1,0.0006370519109947643
QUINOA LISTICLE VAPE,0.0004864482,1,0.0006367123036649215
VHS FORAGE CORNHOLE,0.00048610306,1,0.0006362605497382199
MLKSHK,0.0004855459,4,0.0025421251308900524
POUTINE HOODIE,0.00048131534,1,0.0006299939005235602
SHAMAN GASTROPUB ART PARTY AFFOGATO,0.0004811118,1,0.0006297274869109948
JUICE KOMBUCHA,0.00048056061,1,0.0006290060340314136
HOODIE SKATEBOARD,0.00048027368,1,0.0006286304712041885
BRAID KOMBUCHA,0.0004800002,1,0.0006282725130890052
TRADE MICRODOSING SQUID PRISM,0.00047993378,1,0.0006281855759162304
BLOG CRONUT PRISM,0.00047945834,1,0.0006275632722513089
CLOUD BREAD PRISM,0.000476351,1,0.0006234960732984294
SKATEBOARD,0.00047493828,11,0.006838116596858639
LOMO MEDITATION,0.00047392433,1,0.0006203198036649214
INTELLIGENTSIA,0.00047392433,19,0.011786076269633508
COPPER,0.00047386953,3,0.0018607442277486911
BANJO,0.00047370818,12,0.007440442617801048
GREEN JUICE,0.00047368172,16,0.00992003602094241
BUTCHER SRIRACHA AF KALE CHIPS,0.0004729397,1,0.0006190310209424083
POUTINE CHARTREUSE MASTER CLEANSE DIY LOCAVORE ARTISAN,0.00047009625,1,0.0006153092277486911
HEXAGON,0.00046967773,12,0.007377137120418847
SKATEBOARD PUG,0.00046944703,1,0.0006144594633507854
UNICORN,0.0004693828,12,0.007372504712041885
BICYCLE RIGHTS,0.00046935093,12,0.007372004136125655
MEDITATION MAN BRAID,0.00046925645,1,0.0006142100130890053
WOLF TACOS,0.00046904184,1,0.000613929109947644
LOKO,0.00046874865,19,0.011657361714659687
BUSHWICK FIXIE,0.00046874865,1,0.0006135453534031413
SRIRACHA BICYCLE RIGHTS,0.00046872013,1,0.0006135080235602094
KALE CHIPS KOGI PUG,0.00046863547,1,0.0006133972120418848
CRONUT,0.00046648982,19,0.011601186623036648
COPPER MUG LOMO,0.00046640655,1,0.000610479777486911
LISTICLE TACOS,0.0004663863,2,0.0012209065445026178
PITCHFORK,0.00046633524,15,0.009155796596858638
FOOD TRUCK KEYTAR TOTE BAG ARTISAN,0.0004662345,1,0.0006102545811518325
COFFEE MLKSHK MUSTACHE BICYCLE RIGHTS,0.00046618478,1,0.0006101895026178011
NORMCORE PITCHFORK,0.0004656649,1,0.0006095090314136125
HEIRLOOM MAN BRAID,0.00046561993,1,0.000609450170157068
VICE PORK BELLY BLOG,0.0004653573,1,0.0006091064136125654
JUICE PLAID,0.0004650787,1,0.0006087417539267016
